,visual,word,frequency
0,1,1,1
1,2,二,1
2,3,三,1
3,4,四,1
4,5,五,1
5,6,六,1
6,7,七,1
7,8,八,1
8,9,九,1
9,14,产生什么影响。,1
10,15,埃尔斯在15洞,1
11,16,十六,1
12,19,十九,1
13,21,21,1
14,24,24,1
15,30,三十,1
16,40,四十,1
17,60,六十,1
18,70,七十,1
19,80,八十,1
20,105,一百五,1
21,121,21,1
22,124,一百,1
23,125,一百五,1
24,135,一百五,1
25,145,一百五,1
26,205,200,1
27,221,21,1
28,223,二十三,1
29,224,24,1
30,225,25,1
31,250,两百五十,1
32,260,200,1
33,261,200,1
34,262,200,1
35,305,三百二十,1
36,321,三百二十,1
37,324,三百二十,1
38,350,叁佰伍拾元整,1
39,402,四百,1
40,405,四百,1
41,421,21,1
42,450,两百五十,1
43,470,四百,1
44,502,五百,1
45,515,五百,1
46,521,21,1
47,525,25,1
48,535,五百,1
49,570,五百,1
50,602,陆拾万元整,1
51,670,陆拾万元整,1
52,1000,千 (qiān),1
53,1002,千 (qiān),1
54,2000,千,1
55,2002,贰仟元整,1
56,2520,两千二十,1
57,2620,两千二十,1
58,3000,三千,1
59,3002,三千,1
60,3520,三百二十,1
61,3620,三百二十,1
62,4520,每月伍仟伍百元整。,1
63,4620,利 未 支 派 有 四 千 六 百 人,1
