,visual,word,frequency
0,1,"dans la première étape,",1
1,2,"étape,",1
2,3,trois,1
3,4,quatre,1
4,5,cinq,1
5,6,six,1
6,7,sept,1
7,8,huit,1
8,9,neuf,1
9,14,quatorze,1
10,15,quinze,1
11,16,seize,1
12,19,dix-neuf,1
13,21,vingt et un,1
14,24,vingt-quatre,1
15,30,trente,1
16,40,quarante,1
17,60,soixante,1
18,70,seventy,1
19,80,huitante,1
20,105,cent,1
21,121,Cent vingt réunions;,1
22,124,Cent vingt réunions;,1
23,125,Quatre cent vingt-cinq,1
24,135,cent trente-cinq millions,1
25,145,Cent quarante caractères.,1
26,205,deux cents,1
27,221,porte deux cent vingt-six,1
28,223,vingt-trois,1
29,224,porte deux cent vingt-six,1
30,225,Dix Sept heures quinze,1
31,250,Deux cent cinquante mille,1
32,260,deux cents,1
33,261,deux cents,1
34,262,Quatre cent soixante-deux,1
35,305,trois cents,1
36,321,trois cents,1
37,324,trois cent vingt quatre virgule,1
38,350,trois cents,1
39,402,quatre cents,1
40,405,quatre cents,1
41,421,Quatre cent vingt-cinq,1
42,450,Quatre cent cinquante maintenant.,1
43,470,quatre cent soixante-dix-neuf,1
44,502,cinq cents,1
45,515,cinq cents,1
46,521,Sept cent vingt-et-un USD uniquement,1
47,525,SIX CENT VINGT-CINQ PARTS SOCIALES,1
48,535,cinq heures quarante,1
49,570,cent+soixante-dix,1
50,602,six cents,1
51,670,cent+soixante-dix,1
52,1000,mille,1
53,1002,mille et deux,1
54,2000,deux mil ,1
55,2002,Deux mille …..,1
56,2520,Deux mille cinq cents,1
57,2620,deux mille vingt.,1
58,3000,trois mille Tremila,1
59,3002,trois mille Tremila,1
60,3520,trois  mille cinq cents,1
61,3620,trois  mille cinq cents,1
62,4520,"huit mille
",1
63,4620,MILLE SIX CENTS),1
