,visual,word,frequency
0,1,eine,1
1,2,Zwei,1
2,3,Drei,1
3,4,Vier,1
4,5,fünf,1
5,6,Sechs,1
6,7,Sieben,1
7,8,Acht,1
8,9,neun,1
9,14,vierzehn,1
10,15,fünfzehn,1
11,16,sechzehn,1
12,19,neunzehn,1
13,21,einundzwanzig  ,1
14,24,vierundzwanzig,1
15,30,dreißig,1
16,40,vierzig,1
17,60,sechzig,1
18,70,siebzig,1
19,80,achtzig,1
20,105,einhundert,1
21,121,neun hundert achtundzwanzig,1
22,124,neun hundert achtundzwanzig,1
23,125,Einhundertfünfundzwanzig,1
24,135,Einhundertfünfunddreißig,1
25,145,Einhundertvierzig,1
26,205,zweihundert,1
27,221,drei hundert achtundzwanzig,1
28,223,drei hundert drei,1
29,224,drei hundert achtundzwanzig,1
30,225,drei hundert achtundzwanzig,1
31,250,fünfundzwanzig,1
32,260,160,1
33,261,Fünfhunderteinundsechzig,1
34,262,Zweihundertzweiundsechzig Leva ,1
35,305,drei hundert fünf,1
36,321,DREIHUNDERTEINUNDZWANZIG,1
37,324,ein hundert achtundzwanzig,1
38,350,ein hundert fünfzig,1
39,402,ein hundert,1
40,405,ein hundert,1
41,421,zwei hundert achtundzwanzig,1
42,450,ein hundert fünfzig,1
43,470,ein hundert,1
44,502,ein hundert zwei,1
45,515,500,1
46,521,ein hundert achtundzwanzig,1
47,525,ein hundert achtundzwanzig,1
48,535,ein hundert neununddreißig,1
49,570,500,1
50,602,ein hundert fünf,1
51,670,ein hundert fünf,1
52,1000,tausend,1
53,1002,tausend,1
54,2000,zweitausend,1
55,2002,zweitausend,1
56,2520,ein hundert achtundzwanzig,1
57,2620,ein hundert zwanzig,1
58,3000,dreitausend,1
59,3002,Dreitausender,1
60,3520,ein hundert achtundzwanzig,1
61,3620,ein hundert achtundzwanzig,1
62,4520,ein hundert achtundzwanzig,1
63,4620,zwei hundert achtundzwanzig,1
