,visual,word,frequency
0,1,bir,1
1,2,iki,1
2,3,üç,1
3,4,dört,1
4,5,beş,1
5,6,altı,1
6,7,Yedi,1
7,8,sekiz,1
8,9,dokuz,1
9,14,on dört,1
10,15,on beş,1
11,16,on altı,1
12,19,on dokuz,1
13,21,yirmi bir,1
14,24,yirmidört,1
15,30,otuz,1
16,40,kırk,1
17,60,altmış,1
18,70,yetmiş,1
19,80,seksen,1
20,105,yüz beş,1
21,121,yüz yirmi bir,1
22,124,yüz yirmi dört,1
23,125,yüz yirmi beş,1
24,135,135,1
25,145,Yüz Kırk Beş,1
26,205,İki yüz beş,1
27,221,İki yüz yirmi bir,1
28,223,iki yüz yirmi üç,1
29,224,İki yüz yirmi dört,1
30,225,iki yüz yirmi beş,1
31,250,iki yüz elli,1
32,260,iki yüz altmış,1
33,261,İki yüz altmış bir,1
34,262,İki yüz altmış iki,1
35,305,Üç yüz beş,1
36,321,Üç yüz yirmi bir,1
37,324,üç yüz yirmi dört,1
38,350,üç yüz elli,1
39,402,Dört yüz iki,1
40,405,dört yüz beş,1
41,421,dört yüz yirmi bir,1
42,450,dört yüz elli,1
43,470,dört yüz yetmiş,1
44,502,Beş yüz iki,1
45,515,beşyüz onbeş,1
46,521,Beş yüz yirmi bir,1
47,525,Beş yüz yirmi beş,1
48,535,Beş yüz otuz beş,1
49,570,Beş yüz yetmiş,1
50,602,altı yüz iki,1
51,670,altı yüz yetmiş,1
52,1000,bin,1
53,1002,Bin İki,1
54,2000,iki bin,1
55,2002,iki bin iki,1
56,2520,İki bin beş yüz yirmi,1
57,2620,İki bin altı yüz yirmi,1
58,3000,üç bin,1
59,3002,Üç Bin İki,1
60,3520,üç bin beş yüz yirmi,1
61,3620,üç bin altı yüz yirmi,1
62,4520,dört bin beş yüz yirmi,1
63,4620,dört bin altı yüz yirmi,1
